filename,title,author,date,date_start,date_end,citation
ORNMUS2.xml,Musice active micrologus liber secundus,"Ornithoparchus, Andreas",16th century,1500,1599,chtmlORNMUS2.xml
MONEPI.xml,Epitoma utriusque musicae practicae,"Monetarius, Stefan",16th century,1500,1599,chtmlMONEPI.xml
WALREGU_MLBLL763.xml,Regule Magistri. Thome Walsingham. De figuris compositis. et non compositis. et de cantu perfecto et inperfecto. et De modis. incipiunt,"Walsingham, Thomas",14th century,1300,1399,chtmlWALREGU_MLBLL763.xml
RUDQUA.xml,Quaestiones in musica,Rudolf of St. Trond,12th century,1100,1199,chtmlRUDQUA.xml
ANOAM.xml,Ars musice,Anonymous,15th century,1400,1499,chtmlANOAM.xml
GUIMICB_MBBR2784.xml,Micrologus,Guido d'Arezzo,9th-11th century,800,1099,chtmlGUIMICB_MBBR2784.xml
TINCPT3.xml,"Liber de arte contrapuncti, Liber tertius","Tinctoris, Johannes",15th century,1400,1499,chtmlTINCPT3.xml
JACSP4.xml,"Speculum musicae, Liber quartus",Jacobus Leodiensis,14th century,1300,1399,chtmlJACSP4.xml
GALRIT3.xml,"Ritus canendi vetustissimus et novus, liber tertius",Johannes Gallicus dictus Carthusiensis seu de Mantua,15th century,1400,1499,chtmlGALRIT3.xml
METANO1.xml,De musica et tonis tractatus,Anonymous,12th century,1100,1199,chtmlMETANO1.xml
FABMUS1.xml,Ad musicam practicam introductio,"Faber, Heinrich",16th century,1500,1599,chtmlFABMUS1.xml
GLADOD1.xml,"Dodecachordon, Liber primus","Glareanus, Henricus",16th century,1500,1599,chtmlGLADOD1.xml
BEUMUS2.xml,"Musicae rudimenta e pleniore eius descriptione itemque exempla quaedam facilia ad puerilem exercitationem e bonis auctoribus, Libellus secundus de cantu","Beurhusius, Fredericus",16th century,1500,1599,chtmlBEUMUS2.xml
ANOMCANT_MSAVI44.xml,[De modis cantandi],Anonymous,15th century,1400,1499,chtmlANOMCANT_MSAVI44.xml
MURMSPEC_MVBM8-24.xml,Musica speculativa,Johannes de Muris,14th century,1300,1399,chtmlMURMSPEC_MVBM8-24.xml
ANO2DEM.xml,De musica antiqua et nova,Anonymous II,14th century,1300,1399,chtmlANO2DEM.xml
ANO5DED.xml,De discantu,Anonymous 5,14th century,1300,1399,chtmlANO5DED.xml
MURMUSI.xml,Musica speculativa,Johannes de Muris,14th century,1300,1399,chtmlMURMUSI.xml
ANOTRA.xml,Tractatulus de cantu mensurali seu figurativo musice artis,Anonymous,14th century,1300,1399,chtmlANOTRA.xml
AURMDAP.xml,"Musica disciplina, cap. VIII-XVI",Aurelianus Reomensis,9th-11th century,800,1099,chtmlAURMDAP.xml
ODOINT.xml,Intonarium,Odo,9th-11th century,800,1099,chtmlODOINT.xml
REGTONA.xml,Tonarius,Regino Prumiensis,9th-11th century,800,1099,chtmlREGTONA.xml
ANOUPS2.xml,[Tractatus de musica mensurata et musica falsa],Anonymous,13th century,1200,1299,chtmlANOUPS2.xml
ANOCBA_MBAV5320.xml,Compendium breve artis musicae,Anonymous,13th century,1200,1299,chtmlANOCBA_MBAV5320.xml
MARLU4.xml,"Lucidarium, tractatus quartus",Marchetus de Padua,14th century,1300,1399,chtmlMARLU4.xml
CICNM2.xml,"Nova musica, liber secundus de speciebus","Ciconia, Johannes",15th century,1400,1499,chtmlCICNM2.xml
UGODEC3B.xml,"Declaratio musicae disciplinae, liber tertius",Ugolino Urbevetanis,15th century,1400,1499,chtmlUGODEC3B.xml
MURMSP.xml,Musica speculativa,Johannes de Muris,14th century,1300,1399,chtmlMURMSP.xml
HOTREGC.xml,Regulae supra contrapunctum,"Hothby, Johannes",15th century,1400,1499,chtmlHOTREGC.xml
MARPOME.xml,Pomerium,Marchetus de Padua,14th century,1300,1399,chtmlMARPOME.xml
ANOQUA.xml,Quaedam de arte discantandi,Anonymous,13th century,1200,1299,chtmlANOQUA.xml
ODODIAL_MVBM8-24.xml,Dialogus,Odo,9th-11th century,800,1099,chtmlODODIAL_MVBM8-24.xml
MARDNP9.xml,"De nuptiis Philologiae et Mercurii, Liber IX, De musica",Martianus Capella,3rd-5th century,200,499,chtmlMARDNP9.xml
GUEUT.xml,Utillissime musicales regule,"Guerson, Guillaume",15th century,1400,1499,chtmlGUEUT.xml
HOTRSP.xml,Regulae super proportiones,"Hothby, Johannes",15th century,1400,1499,chtmlHOTRSP.xml
COLORG.xml,Cologne Organum Treatise,Anonymous,9th-11th century,800,1099,chtmlCOLORG.xml
MARLU5.xml,"Lucidarium, tractatus quintus",Marchetus de Padua,14th century,1300,1399,chtmlMARLU5.xml
CICNM3.xml,"Nova musica, liber tertius de proportionibus","Ciconia, Johannes",15th century,1400,1499,chtmlCICNM3.xml
BOEDIM1.xml,"De institutione musica, liber primus","Boethius, Anicius Manlius Severinus",6th-8th century,500,799,chtmlBOEDIM1.xml
ANOUPS3.xml,[Tractatus brevis de musica mensurata],Anonymous,13th century,1200,1299,chtmlANOUPS3.xml
ANOTDM.xml,[Tractatus de musica],Anonymous,15th century,1400,1499,chtmlANOTDM.xml
BERNTON.xml,Tonarius,Berno Augiensis,9th-11th century,800,1099,chtmlBERNTON.xml
